ID_cliente,Nombre,Edad,Género,Región,Nivel_educacional,Satisfacción_servicio (1-5),Tiempo_respuesta (minutos),Recomendaría_empresa,Compras_último_mes
1,Brunilda,,No binario,Magallanes,Técnica,1,51.29,No,3
2,Mercedes,69.0,Masculino,Atacama,Postgrado,5,32.4,Sí,2
3,Sandra,46.0,Femenino,Los Lagos,Técnica,2,25.16,Sí,6
4,América,32.0,Masculino,Los Ríos,Media,2,30.12,No,5
5,Encarnación,60.0,Femenino,Valparaíso,Básica,3,28.31,Sí,10
6,Anastasio,25.0,No binario,Ñuble,Básica,2,,No,4
7,Hilda,38.0,Masculino,Biobío,Postgrado,5,33.2,Sí,8
8,Renata,56.0,Masculino,O’Higgins,,5,31.93,Sí,8
9,Rodolfo,36.0,Masculino,Los Ríos,Universitaria,2,29.17,Sí,7
10,Cornelio,40.0,Masculino,Antofagasta,Universitaria,5,27.06,No,3
11,Virgilio,,Femenino,Atacama,Universitaria,5,,No,5
12,Isaac,28.0,No binario,Ñuble,Media,1,24.46,No,5
13,Asunción,41.0,Masculino,Los Ríos,Media,4,25.97,Sí,4
14,Marita,53.0,Masculino,Araucanía,Universitaria,5,34.75,Sí,4
15,Vicenta,57.0,Masculino,Los Lagos,Postgrado,5,40.11,Sí,4
16,Marcelino,,Femenino,Aysén,Media,3,39.2,Sí,5
17,Pepe,20.0,Masculino,Arica y Parinacota,Media,4,27.4,No,11
18,Manuela,39.0,Femenino,Atacama,Básica,4,17.36,No,4
19,Claudia,19.0,Femenino,Biobío,Básica,4,27.11,Sí,4
20,Chuy,41.0,Femenino,Ñuble,Postgrado,2,30.74,No,4
21,Lisandro,61.0,Masculino,Ñuble,Media,1,18.86,No,4
22,Josué,47.0,Femenino,Araucanía,Media,1,26.92,No,5
23,Azucena,55.0,Masculino,Los Lagos,Técnica,3,,Sí,2
24,Jessica,,Masculino,Maule,Postgrado,4,,No,6
25,Belén,38.0,Femenino,O’Higgins,Postgrado,4,24.59,Sí,12
26,Julio César,50.0,,Biobío,Técnica,5,30.29,Sí,6
27,Noelia,29.0,Masculino,Atacama,Técnica,2,30.84,Sí,6
28,Rosalina,,Masculino,Araucanía,Básica,2,26.27,Sí,7
29,Elpidio,61.0,,Metropolitana,Postgrado,3,37.72,Sí,6
30,Angélica,42.0,Masculino,Ñuble,Postgrado,1,11.72,Sí,6
31,Amaro,66.0,Masculino,Antofagasta,Técnica,4,34.72,No,4
32,Yaiza,44.0,Masculino,Maule,Universitaria,3,24.27,Sí,7
33,Alondra,59.0,Femenino,Ñuble,Universitaria,2,40.46,Sí,4
34,Carmela,45.0,Femenino,Atacama,,2,17.25,Sí,6
35,Constanza,33.0,Femenino,Tarapacá,Universitaria,2,39.39,Sí,4
36,Jordana,32.0,,Ñuble,Universitaria,4,22.11,Sí,4
37,Ale,64.0,Masculino,Coquimbo,Universitaria,4,33.22,Sí,7
38,Domingo,,,Tarapacá,Media,4,25.35,No,2
39,Teófilo,61.0,Femenino,Los Lagos,Básica,5,41.27,,2
40,Eliseo,69.0,Femenino,Ñuble,Técnica,1,,Sí,10
41,Albina,,Femenino,Magallanes,Universitaria,2,22.77,Sí,6
42,Socorro,,,Valparaíso,,2,43.99,Sí,4
43,Carmen,,Femenino,Biobío,,5,27.2,Sí,4
